Report Date,Health District,Age Group Type,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
01/16/2024,Alexandria,Case Age Group,0-9 Years,5361,17,0
01/16/2024,Alexandria,Case Age Group,10-19 Years,3714,19,0
01/16/2024,Alexandria,Case Age Group,20-29 Years,8549,43,2
01/16/2024,Alexandria,Case Age Group,30-39 Years,11134,102,3
01/16/2024,Alexandria,Case Age Group,40-49 Years,7340,122,13
01/16/2024,Alexandria,Case Age Group,50-59 Years,5371,150,26
01/16/2024,Alexandria,Case Age Group,60-69 Years,3351,159,38
01/16/2024,Alexandria,Case Age Group,70-79 Years,1833,135,63
01/16/2024,Alexandria,Case Age Group,80+ Years,1170,112,105
01/16/2024,Alexandria,Case Age Group,Missing,6,0,0
01/16/2024,Arlington,Case Age Group,0-9 Years,6887,29,2
01/16/2024,Arlington,Case Age Group,10-19 Years,6460,18,0
01/16/2024,Arlington,Case Age Group,20-29 Years,16906,51,0
01/16/2024,Arlington,Case Age Group,30-39 Years,13753,100,2
01/16/2024,Arlington,Case Age Group,40-49 Years,9942,133,18
01/16/2024,Arlington,Case Age Group,50-59 Years,7141,192,26
01/16/2024,Arlington,Case Age Group,60-69 Years,4333,229,50
01/16/2024,Arlington,Case Age Group,70-79 Years,2584,287,87
01/16/2024,Arlington,Case Age Group,80+ Years,1636,367,201
01/16/2024,Arlington,Case Age Group,Missing,10,0,0
01/16/2024,Fairfax,Case Age Group,0-9 Years,28819,116,1
01/16/2024,Fairfax,Case Age Group,10-19 Years,33294,75,1
01/16/2024,Fairfax,Case Age Group,20-29 Years,45231,216,8
01/16/2024,Fairfax,Case Age Group,30-39 Years,46675,407,23
01/16/2024,Fairfax,Case Age Group,40-49 Years,43204,617,50
01/16/2024,Fairfax,Case Age Group,50-59 Years,38085,879,139
01/16/2024,Fairfax,Case Age Group,60-69 Years,26288,1023,241
01/16/2024,Fairfax,Case Age Group,70-79 Years,14136,942,397
01/16/2024,Fairfax,Case Age Group,80+ Years,10290,1327,1026
01/16/2024,Fairfax,Case Age Group,Missing,27,0,0
01/16/2024,Loudoun,Case Age Group,0-9 Years,12031,68,0
01/16/2024,Loudoun,Case Age Group,10-19 Years,14927,25,2
01/16/2024,Loudoun,Case Age Group,20-29 Years,14135,70,3
01/16/2024,Loudoun,Case Age Group,30-39 Years,16659,158,3
01/16/2024,Loudoun,Case Age Group,40-49 Years,18172,258,14
01/16/2024,Loudoun,Case Age Group,50-59 Years,15422,336,32
01/16/2024,Loudoun,Case Age Group,60-69 Years,7956,332,49
01/16/2024,Loudoun,Case Age Group,70-79 Years,3991,401,102
01/16/2024,Loudoun,Case Age Group,80+ Years,2647,508,267
01/16/2024,Loudoun,Case Age Group,Missing,64,0,0
01/16/2024,Prince William,Case Age Group,0-9 Years,15936,222,1
01/16/2024,Prince William,Case Age Group,10-19 Years,18845,185,1
01/16/2024,Prince William,Case Age Group,20-29 Years,25777,367,10
01/16/2024,Prince William,Case Age Group,30-39 Years,26107,514,27
01/16/2024,Prince William,Case Age Group,40-49 Years,24810,620,48
01/16/2024,Prince William,Case Age Group,50-59 Years,21745,750,112
01/16/2024,Prince William,Case Age Group,60-69 Years,12502,599,201
01/16/2024,Prince William,Case Age Group,70-79 Years,5990,489,238
01/16/2024,Prince William,Case Age Group,80+ Years,3196,366,359
01/16/2024,Prince William,Case Age Group,Missing,188,0,0
01/15/2024,Alexandria,Case Age Group,0-9 Years,5360,17,0
01/15/2024,Alexandria,Case Age Group,10-19 Years,3714,19,0
01/15/2024,Alexandria,Case Age Group,20-29 Years,8546,43,2
