Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
01/16/2024,Alexandria,47829,859,250
01/16/2024,Arlington,69652,1406,386
01/16/2024,Fairfax,286049,5602,1886
01/16/2024,Loudoun,106004,2156,472
01/16/2024,Prince William,155096,4112,997
01/15/2024,Alexandria,47818,858,250
01/15/2024,Arlington,69642,1406,386
01/15/2024,Fairfax,285969,5601,1886
01/15/2024,Loudoun,105981,2156,472
01/15/2024,Prince William,155063,4112,997
01/14/2024,Alexandria,47808,858,250
01/14/2024,Arlington,69633,1405,386
01/14/2024,Fairfax,285913,5598,1886
01/14/2024,Loudoun,105933,2155,472
01/14/2024,Prince William,155000,4111,997
01/13/2024,Alexandria,47791,858,250
01/13/2024,Arlington,69623,1405,386
01/13/2024,Fairfax,285821,5597,1886
01/13/2024,Loudoun,105894,2155,472
01/13/2024,Prince William,154946,4111,997
01/12/2024,Alexandria,47781,857,250
01/12/2024,Arlington,69605,1405,386
01/12/2024,Fairfax,285721,5596,1886
01/12/2024,Loudoun,105811,2154,472
01/12/2024,Prince William,154842,4111,997
01/11/2024,Alexandria,47771,857,250
01/11/2024,Arlington,69590,1405,386
01/11/2024,Fairfax,285607,5596,1886
01/11/2024,Loudoun,105749,2155,472
01/11/2024,Prince William,154779,4109,997
01/10/2024,Alexandria,47735,856,249
01/10/2024,Arlington,69557,1405,385
01/10/2024,Fairfax,285452,5592,1885
01/10/2024,Loudoun,105677,2152,472
01/10/2024,Prince William,154694,4108,997
01/09/2024,Alexandria,47710,856,249
01/09/2024,Arlington,69540,1405,385
01/09/2024,Fairfax,285281,5591,1885
01/09/2024,Loudoun,105600,2150,472
01/09/2024,Prince William,154624,4108,997
01/08/2024,Alexandria,47696,856,247
01/08/2024,Arlington,69516,1405,385
01/08/2024,Fairfax,285143,5590,1875
01/08/2024,Loudoun,105544,2148,469
01/08/2024,Prince William,154506,4108,991
01/07/2024,Alexandria,47680,855,247
01/07/2024,Arlington,69507,1405,385
01/07/2024,Fairfax,285068,5588,1875
01/07/2024,Loudoun,105499,2148,469
01/07/2024,Prince William,154448,4108,991
01/06/2024,Alexandria,47664,855,247
01/06/2024,Arlington,69490,1405,385
01/06/2024,Fairfax,284959,5588,1875
01/06/2024,Loudoun,105442,2148,469
01/06/2024,Prince William,154392,4108,991
01/05/2024,Alexandria,47645,855,246
01/05/2024,Arlington,69456,1404,384
01/05/2024,Fairfax,284757,5586,1871
01/05/2024,Loudoun,105336,2145,468
01/05/2024,Prince William,154293,4108,989
01/04/2024,Alexandria,47613,853,246
01/04/2024,Arlington,69434,1404,383
01/04/2024,Fairfax,284556,5586,1865
01/04/2024,Loudoun,105263,2144,467
01/04/2024,Prince William,154182,4108,986
01/03/2024,Alexandria,47592,853,245
01/03/2024,Arlington,69408,1404,383
01/03/2024,Fairfax,284385,5581,1860
01/03/2024,Loudoun,105184,2143,465
01/03/2024,Prince William,154064,4108,984
01/02/2024,Alexandria,47567,853,245
01/02/2024,Arlington,69379,1404,382
01/02/2024,Fairfax,284219,5580,1855
01/02/2024,Loudoun,105113,2141,463
01/02/2024,Prince William,153994,4108,982
01/01/2024,Alexandria,47557,852,244
01/01/2024,Arlington,69370,1404,380
01/01/2024,Fairfax,284127,5580,1852
01/01/2024,Loudoun,105069,2141,461
01/01/2024,Prince William,153949,4108,981
12/31/2023,Alexandria,47541,852,244
12/31/2023,Arlington,69362,1404,380
12/31/2023,Fairfax,284023,5580,1852
12/31/2023,Loudoun,105014,2141,461
12/31/2023,Prince William,153875,4108,981
12/30/2023,Alexandria,47521,852,244
12/30/2023,Arlington,69345,1404,380
12/30/2023,Fairfax,283895,5578,1852
12/30/2023,Loudoun,104971,2140,461
12/30/2023,Prince William,153803,4108,981
12/29/2023,Alexandria,47508,852,244
12/29/2023,Arlington,69324,1404,379
12/29/2023,Fairfax,283757,5574,1848
12/29/2023,Loudoun,104868,2139,461
12/29/2023,Prince William,153700,4107,978
12/28/2023,Alexandria,47481,852,243
12/28/2023,Arlington,69306,1404,378
12/28/2023,Fairfax,283587,5571,1844
12/28/2023,Loudoun,104734,2139,461
12/28/2023,Prince William,153594,4107,974
12/27/2023,Alexandria,47459,852,243
12/27/2023,Arlington,69292,1404,376
12/27/2023,Fairfax,283435,5570,1840
12/27/2023,Loudoun,104639,2139,459
12/27/2023,Prince William,153501,4107,973
12/26/2023,Alexandria,47447,852,242
12/26/2023,Arlington,69271,1404,375
12/26/2023,Fairfax,283307,5566,1836
12/26/2023,Loudoun,104573,2139,458
12/26/2023,Prince William,153393,4107,969
12/25/2023,Alexandria,47439,851,241
12/25/2023,Arlington,69256,1404,375
12/25/2023,Fairfax,283229,5563,1832
12/25/2023,Loudoun,104537,2139,457
12/25/2023,Prince William,153338,4107,968
12/24/2023,Alexandria,47429,851,241
12/24/2023,Arlington,69248,1404,375
12/24/2023,Fairfax,283127,5563,1832
12/24/2023,Loudoun,104494,2139,457
12/24/2023,Prince William,153267,4107,968
12/23/2023,Alexandria,47405,851,241
12/23/2023,Arlington,69230,1404,375
12/23/2023,Fairfax,283031,5563,1832
12/23/2023,Loudoun,104445,2139,457
12/23/2023,Prince William,153190,4107,968
12/22/2023,Alexandria,47391,851,240
12/22/2023,Arlington,69216,1404,374
12/22/2023,Fairfax,282886,5563,1825
12/22/2023,Loudoun,104378,2139,457
12/22/2023,Prince William,153097,4107,965
12/21/2023,Alexandria,47374,852,238
12/21/2023,Arlington,69192,1404,373
12/21/2023,Fairfax,282735,5562,1819
12/21/2023,Loudoun,104284,2139,456
12/21/2023,Prince William,153004,4107,963
12/20/2023,Alexandria,47351,851,237
12/20/2023,Arlington,69175,1404,372
12/20/2023,Fairfax,282616,5559,1815
12/20/2023,Loudoun,104220,2139,455
12/20/2023,Prince William,152911,4107,962
12/19/2023,Alexandria,47338,851,237
12/19/2023,Arlington,69149,1404,372
12/19/2023,Fairfax,282487,5558,1811
12/19/2023,Loudoun,104130,2138,454
12/19/2023,Prince William,152837,4107,959
12/18/2023,Alexandria,47322,851,235
12/18/2023,Arlington,69132,1404,372
12/18/2023,Fairfax,282341,5556,1806
12/18/2023,Loudoun,104074,2138,453
12/18/2023,Prince William,152752,4107,956
12/17/2023,Alexandria,47317,851,235
12/17/2023,Arlington,69128,1404,372
12/17/2023,Fairfax,282275,5555,1806
12/17/2023,Loudoun,104044,2138,453
12/17/2023,Prince William,152690,4107,956
12/16/2023,Alexandria,47310,851,235
12/16/2023,Arlington,69118,1404,372
12/16/2023,Fairfax,282188,5553,1806
12/16/2023,Loudoun,104000,2138,453
12/16/2023,Prince William,152633,4107,956
12/15/2023,Alexandria,47300,850,235
12/15/2023,Arlington,69105,1404,372
12/15/2023,Fairfax,282089,5549,1806
12/15/2023,Loudoun,103961,2137,453
12/15/2023,Prince William,152576,4107,956
12/14/2023,Alexandria,47287,850,235
12/14/2023,Arlington,69094,1403,372
12/14/2023,Fairfax,282008,5548,1806
12/14/2023,Loudoun,103903,2137,453
12/14/2023,Prince William,152514,4107,956
12/13/2023,Alexandria,47277,850,235
12/13/2023,Arlington,69081,1403,372
12/13/2023,Fairfax,281895,5546,1806
12/13/2023,Loudoun,103837,2137,453
12/13/2023,Prince William,152433,4107,956
12/12/2023,Alexandria,47266,850,235
12/12/2023,Arlington,69063,1403,372
12/12/2023,Fairfax,281794,5545,1806
12/12/2023,Loudoun,103776,2137,453
12/12/2023,Prince William,152378,4107,956
12/11/2023,Alexandria,47257,849,234
12/11/2023,Arlington,69051,1403,371
12/11/2023,Fairfax,281688,5546,1803
12/11/2023,Loudoun,103730,2137,453
12/11/2023,Prince William,152301,4106,955
12/10/2023,Alexandria,47254,849,234
12/10/2023,Arlington,69042,1403,371
12/10/2023,Fairfax,281642,5546,1803
12/10/2023,Loudoun,103700,2135,453
12/10/2023,Prince William,152255,4106,955
12/09/2023,Alexandria,47245,849,234
12/09/2023,Arlington,69033,1403,371
12/09/2023,Fairfax,281585,5545,1803
12/09/2023,Loudoun,103667,2135,453
12/09/2023,Prince William,152215,4106,955
12/08/2023,Alexandria,47235,849,234
12/08/2023,Arlington,69028,1403,371
12/08/2023,Fairfax,281500,5545,1803
12/08/2023,Loudoun,103619,2134,453
12/08/2023,Prince William,152155,4106,955
12/07/2023,Alexandria,47230,849,234
12/07/2023,Arlington,69021,1403,371
12/07/2023,Fairfax,281427,5545,1803
12/07/2023,Loudoun,103571,2134,453
12/07/2023,Prince William,152102,4104,955
12/06/2023,Alexandria,47217,849,234
12/06/2023,Arlington,69008,1403,371
12/06/2023,Fairfax,281307,5542,1803
12/06/2023,Loudoun,103515,2133,453
12/06/2023,Prince William,152035,4104,955
12/05/2023,Alexandria,47209,849,234
12/05/2023,Arlington,69001,1403,371
12/05/2023,Fairfax,281214,5541,1803
12/05/2023,Loudoun,103489,2133,453
12/05/2023,Prince William,151972,4103,953
12/04/2023,Alexandria,47198,849,234
12/04/2023,Arlington,68992,1403,371
12/04/2023,Fairfax,281146,5539,1800
12/04/2023,Loudoun,103441,2133,452
12/04/2023,Prince William,151914,4103,952
12/03/2023,Alexandria,47194,849,234
12/03/2023,Arlington,68990,1403,371
12/03/2023,Fairfax,281100,5539,1800
12/03/2023,Loudoun,103412,2133,452
12/03/2023,Prince William,151883,4103,952
12/02/2023,Alexandria,47184,849,234
12/02/2023,Arlington,68983,1403,371
12/02/2023,Fairfax,281049,5538,1800
12/02/2023,Loudoun,103388,2133,452
12/02/2023,Prince William,151846,4102,952
12/01/2023,Alexandria,47179,848,234
12/01/2023,Arlington,68976,1402,371
12/01/2023,Fairfax,280985,5538,1800
12/01/2023,Loudoun,103362,2132,452
12/01/2023,Prince William,151800,4102,952
11/30/2023,Alexandria,47167,848,234
11/30/2023,Arlington,68967,1401,371
11/30/2023,Fairfax,280918,5535,1800
11/30/2023,Loudoun,103307,2129,452
11/30/2023,Prince William,151748,4101,952
11/29/2023,Alexandria,47158,848,234
11/29/2023,Arlington,68955,1401,371
11/29/2023,Fairfax,280835,5535,1800
11/29/2023,Loudoun,103273,2129,452
11/29/2023,Prince William,151695,4101,952
11/28/2023,Alexandria,47149,848,234
11/28/2023,Arlington,68948,1401,371
